first_name,last_name,affiliation,url,is_organizer
Timothy,Lillicrap,DeepMind,https://contrastiveconvergence.net/~timothylillicrap/index.php,1
Siva,Reddy,Mila/McGill/ServiceNow Research,https://sivareddy.in,1
Denis,Therien,McGill/ServiceNow Research,https://www.cs.mcgill.ca/~denis/,1
Simon,Anderson,University of West Indies,https://uwi.edu/caihr/faculty/pg-simon.php,0
Sanjeev,Arora,Princeton,https://www.cs.princeton.edu/~arora/,0
Parishad,BehnamGhader,Mila/McGill,https://parishadbehnam.github.io,0
Georgia,Channing,Oxford/HuggingFace,https://scholar.google.com/citations?user=snwWSmIAAAAJ&hl=en,0
Nicolas,Chapados,ServiceNow Research,https://www.servicenow.com/research/author/nicolas-chapados.html,0
Diego,DiBernardo,Telethon Institute of Genetics and Medicine,https://dibernardo.tigem.it,0
Alannah,Hallas,University of British Columbia,https://qmi.ubc.ca/team-member/alannah-hallas/,0
He,He,NYU,https://hhexiy.github.io,0
Arushi,Jain,Mila/McGill,https://arushijain94.github.io,0
Hugo,Larochelle,Mila,https://mila.quebec/en/directory/hugo-larochelle,0
Neil,Lawrence,Cambridge,https://inverseprobability.com,0
Santiago,Miret,Lila Sciences,https://scholar.google.com/citations?user=ZV1wVzYAAAAJ&hl=en,0
Jessica,Montgomery,Cambridge,https://mlatcl.github.io/people/jessica-montgomery.html,0
Chris,Pal,Mila/Polytechnique Montréal/ServiceNow Research,https://sites.google.com/view/christopher-pal,0
Ingmar,Posner,Oxford,https://eng.ox.ac.uk/people/ingmar-posner,0
Doina,Precup,Mila/McGill/Deepmind,https://rl.cs.mcgill.ca/people/doina-precup/,0
Roberta,Raileanu,Deepmind/UCL,https://rraileanu.github.io,0
Yisong,Yue,Caltech,https://www.yisongyue.com,0
Larry,Zitnick,FAIR,http://larryzitnick.org,0
Christopher,Manning,Stanford,https://nlp.stanford.edu/~manning/,0
Olga,Troyanskaya,Princeton/Flatiron Institute,https://engineering.princeton.edu/faculty/olga-troyanskaya,0
Laurent,Charlin,HEC Montréal/Mila,https://www.cs.toronto.edu/~lcharlin/,0
Alán,Aspuru-Guzik,University of Toronto/Vector,https://www.matter.toronto.edu/basic-content-page/about-alan,0
Varinia,Bernales,University of Toronto,https://bernales.matter.toronto.edu,0
